30 most common unigrams,ballot,vote,california,day,vote,election,rt,democrats,tomorrow,voter,&,voting,amp,polls,go,'s,remember,people,illegal,today,get,make,every,illegals,dl,ca,na,must,made,mail
30 most common nouns,ballot,vote,california,day,election,rt,democrats,tomorrow,voter,amp,polls,people,today,illegals,dl,na,mail,jerry,candidates,june,primaries,citizens,house,water,voters,information,ration,laundry,limit,result
30 most common bigrams,election day,& amp,dl illegals,vote california,made illegal,dear california,day go,vote remember,california election,remember democrats,democrats made,go vote,brown pushed,illegals otherwise,california first,vote since,pushed dl,first vote,jerry brown,since jerry,per day,fined per,limit ration,water limit,day going,shower laundry,illegal practically,going water,practically shower,laundry day
30 most common trigrams,election day go,dear california election,vote remember democrats,day go vote,remember democrats made,go vote remember,california election day,democrats made illegal,vote california first,dl illegals otherwise,first vote since,california first vote,jerry brown pushed,brown pushed dl,vote since jerry,pushed dl illegals,since jerry brown,fined per day,practically shower laundry,going water limit,per day going,water limit ration,shower laundry day,made illegal practically,day going water,illegal practically shower,every ballot must,ballot must carefully,result every ballot,addition voter information
30 best selectivity scores,pushed : 72.0,brown : 72.0,dl : 66.0,shower : 52.0,ration : 52.0,practically : 52.0,limit : 52.0,laundry : 52.0,fined : 52.0,scrutinized : 49.0,offered : 49.0,carefully : 49.0,addition : 49.0,otherwise : 48.0,rolls : 39.0,collecting : 39.0,checks : 39.0,rachel : 36.0,congress : 36.0,per : 35.3333333333,white : 32.0,disinvited : 32.0,dear : 31.25,verified : 27.0,issued : 27.0,dmv : 27.0,security : 26.3333333333,withdrawn : 26.0,part : 26.0,oppose : 26.0
