20 most common unigrams,vote,california,big,turnout,voter,lets,rt,day,vote,fraud,illegal,illegally,'m,registering,ms-13,dem,hoping,members,us,voters
20 most common nouns,vote,california,turnout,voter,lets,rt,day,fraud,dem,members,voters,okay,orange,moron,amp,election,today,suppression,people,place
20 most common bigrams,vote vote,day california,big day,ms-13 members,members vote,illegally hoping,big dem,registering ms-13,dem turnout,'m registering,hoping big,orange moron,turnout orange,okay california,lets giant,accuses us,moron accuses,giant turnout,& amp,polling place
20 most common trigrams,hoping big dem,'m registering ms-13,ms-13 members vote,big dem turnout,big day california,members vote illegally,illegally hoping big,vote illegally hoping,registering ms-13 members,vote vote vote,giant turnout orange,moron accuses us,turnout orange moron,lets giant turnout,orange moron accuses,rt big day,us illegal voters,voteca find polling,find polling place,text voteca find
20 best selectivity scores,orange : 312.0,moron : 312.0,giant : 312.0,registering : 186.5,members : 184.0,turnout : 165.666666667,voteca : 161.0,text : 161.0,bug : 161.0,accuses : 156.5,okay : 153.75,ha : 151.0,ms-13 : 147.8,hoping : 123.333333333,dem : 123.333333333,spread : 117.666666667,advice : 96.0,word : 81.5,false : 73.25,catch : 66.0
