30 most common unigrams,ballot,vote,california,today,day,election,vote,rt,polls,find,'s,make,open,democrats,place,sure,illegal,go,&,voting,get,turn,na,lets,amp,'s,voter,critical,voting,youre
30 most common nouns,ballot,vote,california,today,day,election,rt,polls,democrats,place,voting,na,lets,amp,voter,youre,november,town,mail,people,primary,candidates,voters,tomorrow,turnout,changes,reach,feet,time,immigrants
30 most common bigrams,election day,polls open,& amp,make sure,vote make,'s critical,turn vote,critical turn,democrats election,california democrats,polling place,ballot november,democrats ballot,sure democrats,vote today,find youre,youre voting,find polling,cast ballot,vote vote,move feet,want within,feet town,lets move,primary california,within reach,changes want,rt california,get vote,illegal immigrants
30 most common trigrams,critical turn vote,'s critical turn,turn vote make,democrats election day,california democrats election,vote make sure,make sure democrats,sure democrats ballot,democrats ballot november,find youre voting,find polling place,move feet town,want within reach,changes want within,lets move feet,king said march,halls dr. king,march ballot boxes,dr. king said,squares town halls,town squares town,feet town squares,said march ballot,town halls dr.,youre voting california,voting california democrats,remember democrats made,california election day,vote vote vote,make california democrats
30 best selectivity scores,feet : 464.0,squares : 315.0,democrats : 256.571428571,moron : 246.0,king : 210.666666667,ration : 189.0,practically : 189.0,limit : 189.0,fined : 189.0,town : 173.555555556,halls : 162.0,march : 158.0,reach : 155.333333333,squares : 149.0,collecting : 129.0,checks : 129.0,bug : 128.0,accuses : 123.5,ha : 118.0,i.d : 111.0,ms : 109.0,ia : 109.0,jerry : 107.0,brown : 107.0,within : 104.222222222,nm : 104.0,critical : 99.8421052632,laundry : 95.0,-straws : 92.0,-poop : 92.0
