30 most common unigrams,ballot,vote,vote,today,california,rt,election,day,provisional,place,voters,name,polling,county,voting,polls,still,'s,mail,printing,list,voter,make,la,cast,error,na,important,could,rosters
30 most common nouns,ballot,vote,today,california,rt,election,day,place,voters,name,county,polls,mail,printing,list,voter,error,na,rosters,things,voting,line,information,democrats,roster,republicans,amp,primaries,youre,time
30 most common bigrams,election day,polling place,la county,printing error,rosters la,voters omitted,vote provisional,things could,among things,voting rosters,nearly voters,county printing,omitted voting,name list,& amp,cast ballot,make sure,roster polling,place today,name appear,appear roster,polls open,important election,information name,day information,still vote,stay line,could affect,affect dem,list still
30 most common trigrams,rosters la county,among things could,nearly voters omitted,county printing error,la county printing,voters omitted voting,voting rosters la,omitted voting rosters,vote provisional ballot,roster polling place,polling place today,name appear roster,appear roster polling,important election day,information name appear,election day information,day information name,still vote provisional,affect dem primaries,could affect dem,things could affect,name list still,list still vote,given provisional ballot,place today alarmed,find polling place,critical turn vote,'s critical turn,turn vote make,democrats election day
30 best selectivity scores,omitted : 316.166666667,printing : 253.222222222,reach : 248.0,af : 241.0,alarmed : 217.0,pick : 213.0,la : 176.75,appear : 174.857142857,squares : 170.0,king : 170.0,halls : 170.0,feet : 165.666666667,indeed : 151.0,dem : 144.125,within : 130.0,rosters : 124.5,nearly : 119.727272727,among : 114.428571429,entitles : 103.0,alarm : 101.0,niece : 99.0,dr. : 87.5,error : 86.8461538462,collect : 81.3333333333,faces : 79.0,squares : 78.0,second : 77.0,affect : 76.3888888889,allotted : 76.0,flipped : 74.6666666667
