25 most common unigrams,suspect,peopl,arrest,fbi,news,report,world,bomb,say,get,victim,like,video,made,photo,thought,live,releas,obama,kill,sad,media,think,day,prayer
25 most common nouns,peopl,suspect,arrest,news,report,world,bomb,victim,video,fbi,media,day,photo,prayer,today,releas,watch,respons,terror,obama,famili,attack,time,cnn,heart
25 most common bigrams,arrest made,year old,fbi releas,report arrest,thought prayer,photo suspect,releas photo,heart goe,say arrest,pressur cooker,press confer,innoc peopl,video suspect,terrorist attack,suspect arrest,world come,presid obama,break news,cnn report,finish line,act terror,suspect photo,peopl world,identifi suspect,news confer
25 most common trigrams,fbi releas photo,report arrest made,releas photo suspect,bipartisan clusterfrack bias,twitter bipartisan clusterfrack,clusterfrack bias specul,say arrest made,year old child,cnn report arrest,releas footag suspect,go releas footag,heart goe affect,year old boy,thought prayer affect,sick peopl world,arrest made case,surveil video suspect,releas photo video,major suspect alreadi,imagin major suspect,suspect alreadi apprehend,alreadi apprehend amaz,make finish line,hate make finish,dark skin male
25 best selectivity scores,clusterfrack : 23.0,bipartisan : 23.0,bias : 12.0,poke : 6.0,apprehend : 5.25,deval : 4.66666666667,statehous : 4.0,rev : 4.0,pastor : 4.0,marta : 4.0,flanagan : 4.0,"dead,110 : 4.0",congreg : 4.0,releas : 3.91358024691,hymn : 3.5,surveil : 3.33333333333,old : 3.33333333333,skin : 3.0,retali : 3.0,jihadi : 3.0,haram : 3.0,german : 3.0,fran : 3.0,csu : 3.0,choir : 3.0
25 best TF-IDF scores,traumas : 8.6844011104,phoner : 8.6844011104,pastorpelton : 8.6844011104,importantly : 8.6844011104,gottem : 8.6844011104,contents : 8.6844011104,blogging : 8.6844011104,logging : 7.99125392984,hunch : 7.99125392984,focusing : 7.99125392984,cruelty : 7.99125392984,content : 7.58578882173,141 : 7.58578882173,asshole : 7.29810674928,speaking : 7.07496319797,ridiculous : 7.07496319797,represent : 7.07496319797,removed : 7.07496319797,missing : 7.07496319797,kindness : 7.07496319797,creepy : 7.07496319797,beat : 7.07496319797,apartment : 7.07496319797,signs : 6.89264164117,nuts : 6.89264164117
